2026-01-10T20:21:23.456819500Z [err]  2026-01-10 20:21:20,819 - server - INFO - ✅ Voice library router loaded
2026-01-10T20:21:23.456830899Z [err]  2026-01-10 20:21:20,826 - server - INFO - ✅ QC learning router loaded
2026-01-10T20:21:23.456831336Z [err]  2026-01-10 20:21:20,576 - server - INFO - ✅ CORS configured for origins: ['https://app.li-ai.org', 'https://li-ai.org']
2026-01-10T20:21:23.456841871Z [err]  2026-01-10 20:21:20,620 - server - INFO - ✅ CORS configured for origins: ['https://app.li-ai.org', 'https://li-ai.org']
2026-01-10T20:21:23.456848618Z [err]  2026-01-10 20:21:20,831 - server - INFO - ✅ Voice library router loaded
2026-01-10T20:21:23.456849575Z [err]  2026-01-10 20:21:20,793 - server - INFO - ✅ QC agent router loaded
2026-01-10T20:21:23.456852495Z [err]  2026-01-10 20:21:20,800 - server - INFO - ✅ QC learning router loaded
2026-01-10T20:21:23.456859110Z [err]  2026-01-10 20:21:20,837 - server - INFO - ✅ QC agent router loaded
2026-01-10T20:21:23.456860127Z [err]  2026-01-10 20:21:20,715 - server - INFO - ✅ QC enhanced router loaded
2026-01-10T20:21:23.456875711Z [err]  2026-01-10 20:21:20,738 - server - INFO - ✅ QC enhanced router loaded
2026-01-10T20:21:23.456877192Z [err]  2026-01-10 20:21:20,804 - server - INFO - ✅ Voice library router loaded
2026-01-10T20:21:23.456883837Z [err]  2026-01-10 20:21:20,772 - server - INFO - ✅ QC agent router loaded
2026-01-10T20:21:23.456889426Z [err]  2026-01-10 20:21:20,815 - server - INFO - ✅ QC learning router loaded
2026-01-10T20:21:23.457228156Z [err]  2026-01-10 20:21:20,743 - server - INFO - ✅ QC enhanced router loaded
2026-01-10T20:21:23.458068836Z [err]  2026-01-10 20:21:20,349 - server - INFO - ℹ️  RAG service disabled (set ENABLE_RAG=true to enable semantic search)
2026-01-10T20:21:23.458075211Z [err]  2026-01-10 20:21:20,349 - server - INFO - 🔥 Pre-warming connection libraries...
2026-01-10T20:21:23.458083048Z [err]  2026-01-10 20:21:20,361 - server - INFO - ℹ️  RAG service disabled (set ENABLE_RAG=true to enable semantic search)
2026-01-10T20:21:23.458090468Z [err]  2026-01-10 20:21:20,361 - server - INFO - 🔥 Pre-warming connection libraries...
2026-01-10T20:21:23.458096832Z [err]  2026-01-10 20:21:20,367 - server - INFO - ✅ Connection libraries pre-warmed (websockets, httpx, ElevenLabs, Soniox)
