2025-12-30T06:24:38.899485506Z [inf]  100.64.0.5:32518 - "GET /api/agents/bbeda238-e8d9-4d8c-b93b-1b7694581adb/kb HTTP/1.1" 200
2025-12-30T06:24:39.511875362Z [inf]  100.64.0.5:32520 - "GET /api/qc/enhanced/agents/bbeda238-e8d9-4d8c-b93b-1b7694581adb/auto-qc-settings HTTP/1.1" 200
2025-12-30T06:24:39.512719966Z [err]  2025-12-30 06:24:39,512 - qc_enhanced_router - INFO - Listed 1 campaigns for user dcafa642-6136-4096-b77d-a4cb99a62651
2025-12-30T06:24:39.513510104Z [inf]  100.64.0.5:32518 - "GET /api/qc/enhanced/campaigns HTTP/1.1" 200
2025-12-30T06:24:42.720286399Z [inf]  100.64.0.4:21892 - "GET /api/agents/bbeda238-e8d9-4d8c-b93b-1b7694581adb/flow HTTP/1.1" 200
2025-12-30T06:24:42.720291231Z [inf]  100.64.0.4:21886 - "GET /api/agents/bbeda238-e8d9-4d8c-b93b-1b7694581adb HTTP/1.1" 200
2025-12-30T06:25:52.659453837Z [inf]  100.64.0.5:32518 - "OPTIONS /api/agents/bbeda238-e8d9-4d8c-b93b-1b7694581adb/flow HTTP/1.1" 200
2025-12-30T06:25:52.659460161Z [inf]  100.64.0.13:27346 - "PUT /api/agents/bbeda238-e8d9-4d8c-b93b-1b7694581adb/flow HTTP/1.1" 200
2025-12-30T06:26:22.817584845Z [inf]  100.64.0.5:32518 - "GET /api/agents HTTP/1.1" 200
2025-12-30T06:26:27.064180883Z [err]  2025-12-30 06:26:27,057 - server - INFO - 🌐 Created WebSocket stream URL: wss://api.li-ai.org/api/telnyx/audio-stream
2025-12-30T06:26:27.149686782Z [err]  2025-12-30 06:26:27,144 - key_encryption - WARNING - Failed to decrypt key, assuming unencrypted: 
2025-12-30T06:26:27.240357863Z [err]  2025-12-30 06:26:27,232 - key_encryption - WARNING - Failed to decrypt key, assuming unencrypted: 
2025-12-30T06:26:27.269738267Z [err]  2025-12-30 06:26:27,265 - telnyx_service - INFO - Telnyx service initialized with connection: 2777245537294877821
2025-12-30T06:26:27.269745384Z [err]  2025-12-30 06:26:27,265 - telnyx_service - INFO - 📞 Initiating outbound call from +14048000152 to +17708336397
2025-12-30T06:26:27.269752047Z [err]  2025-12-30 06:26:27,265 - telnyx_service - INFO - 🤖 Enabling AMD (premium mode)
2025-12-30T06:26:27.269758448Z [err]  2025-12-30 06:26:27,265 - telnyx_service - INFO - 🌐 Adding streaming parameters: wss://api.li-ai.org/api/telnyx/audio-stream
