2026-01-06T22:03:19.072044296Z [inf]  🔍 Python path: /app/backend
2026-01-06T22:03:19.072053087Z [inf]  🌐 Starting Gunicorn on 0.0.0.0:8080...
2026-01-06T22:03:19.072059309Z [err]  [2026-01-06 22:03:18 +0000] [1] [INFO] Starting gunicorn 22.0.0
2026-01-06T22:03:19.072070776Z [err]  [2026-01-06 22:03:18 +0000] [1] [INFO] Listening at: http://0.0.0.0:8080 (1)
2026-01-06T22:03:19.072078720Z [err]  [2026-01-06 22:03:18 +0000] [1] [INFO] Using worker: uvicorn.workers.UvicornWorker
2026-01-06T22:03:19.072086033Z [err]  [2026-01-06 22:03:18 +0000] [3] [INFO] Booting worker with pid: 3
2026-01-06T22:03:19.072095291Z [err]  [2026-01-06 22:03:18 +0000] [4] [INFO] Booting worker with pid: 4
2026-01-06T22:03:19.072103343Z [err]  [2026-01-06 22:03:18 +0000] [5] [INFO] Booting worker with pid: 5
2026-01-06T22:03:38.758214506Z [err]  2026-01-06 22:03:31,289 - server - INFO - ✅ CORS configured for origins: ['https://app.li-ai.org', 'https://li-ai.org']
2026-01-06T22:03:38.758229480Z [err]  2026-01-06 22:03:31,127 - server - INFO - ℹ️  RAG service disabled (set ENABLE_RAG=true to enable semantic search)
2026-01-06T22:03:38.758236617Z [err]  2026-01-06 22:03:31,127 - server - INFO - 🔥 Pre-warming connection libraries...
2026-01-06T22:03:38.758242239Z [err]  2026-01-06 22:03:31,127 - server - INFO - ℹ️  RAG service disabled (set ENABLE_RAG=true to enable semantic search)
2026-01-06T22:03:38.758246997Z [err]  2026-01-06 22:03:31,127 - server - INFO - 🔥 Pre-warming connection libraries...
2026-01-06T22:03:38.758252387Z [err]  2026-01-06 22:03:31,135 - server - INFO - ℹ️  RAG service disabled (set ENABLE_RAG=true to enable semantic search)
2026-01-06T22:03:38.758257721Z [err]  2026-01-06 22:03:31,135 - server - INFO - 🔥 Pre-warming connection libraries...
2026-01-06T22:03:38.758262366Z [err]  2026-01-06 22:03:31,137 - server - INFO - ℹ️  RAG service disabled (set ENABLE_RAG=true to enable semantic search)
2026-01-06T22:03:38.758267624Z [err]  2026-01-06 22:03:31,137 - server - INFO - 🔥 Pre-warming connection libraries...
2026-01-06T22:03:38.758277133Z [err]  2026-01-06 22:03:31,158 - server - INFO - ✅ Connection libraries pre-warmed (websockets, httpx, ElevenLabs, Soniox)
2026-01-06T22:03:38.758282128Z [err]  2026-01-06 22:03:31,158 - server - INFO - ✅ Connection libraries pre-warmed (websockets, httpx, ElevenLabs, Soniox)
2026-01-06T22:03:38.758286779Z [err]  2026-01-06 22:03:31,169 - server - INFO - ✅ Connection libraries pre-warmed (websockets, httpx, ElevenLabs, Soniox)
2026-01-06T22:03:38.758291598Z [err]  2026-01-06 22:03:31,169 - server - INFO - ✅ Connection libraries pre-warmed (websockets, httpx, ElevenLabs, Soniox)
2026-01-06T22:03:38.758298981Z [err]  2026-01-06 22:03:31,281 - server - INFO - ✅ CORS configured for origins: ['https://app.li-ai.org', 'https://li-ai.org']
2026-01-06T22:03:38.759938627Z [err]  2026-01-06 22:03:31,581 - server - INFO - ✅ CRM router loaded
2026-01-06T22:03:38.759945880Z [err]  2026-01-06 22:03:31,582 - server - INFO - ✅ CRM router loaded
2026-01-06T22:03:38.759955557Z [err]  2026-01-06 22:03:31,292 - server - INFO - ✅ CORS configured for origins: ['https://app.li-ai.org', 'https://li-ai.org']
2026-01-06T22:03:38.759956508Z [err]  2026-01-06 22:03:31,585 - server - INFO - ✅ CRM router loaded
2026-01-06T22:03:38.759966022Z [err]  2026-01-06 22:03:31,585 - server - INFO - ✅ CRM router loaded
2026-01-06T22:03:38.759969416Z [err]  2026-01-06 22:03:31,297 - server - INFO - ✅ CORS configured for origins: ['https://app.li-ai.org', 'https://li-ai.org']
2026-01-06T22:03:38.759976004Z [err]  2026-01-06 22:03:31,392 - server - INFO - ✅ QC enhanced router loaded
2026-01-06T22:03:38.759981173Z [err]  2026-01-06 22:03:31,399 - server - INFO - ✅ QC enhanced router loaded
2026-01-06T22:03:38.759985373Z [err]  2026-01-06 22:03:31,405 - server - INFO - ✅ QC enhanced router loaded
2026-01-06T22:03:38.759990193Z [err]  2026-01-06 22:03:31,420 - server - INFO - ✅ QC enhanced router loaded
2026-01-06T22:03:38.759994517Z [err]  2026-01-06 22:03:31,437 - server - INFO - ✅ QC agent router loaded
2026-01-06T22:03:38.759999674Z [err]  2026-01-06 22:03:31,441 - server - INFO - ✅ QC agent router loaded
2026-01-06T22:03:38.760004481Z [err]  2026-01-06 22:03:31,444 - server - INFO - ✅ QC agent router loaded
2026-01-06T22:03:38.760008911Z [err]  2026-01-06 22:03:31,456 - server - INFO - ✅ QC agent router loaded
2026-01-06T22:03:38.760014173Z [err]  2026-01-06 22:03:31,462 - server - INFO - ✅ QC learning router loaded
2026-01-06T22:03:38.760018619Z [err]  2026-01-06 22:03:31,464 - server - INFO - ✅ QC learning router loaded
2026-01-06T22:03:38.760022671Z [err]  2026-01-06 22:03:31,466 - server - INFO - ✅ QC learning router loaded
2026-01-06T22:03:38.760027553Z [err]  2026-01-06 22:03:31,476 - server - INFO - ✅ QC learning router loaded
2026-01-06T22:03:38.761840244Z [err]  2026-01-06 22:03:31,597 - server - INFO - ✅ QC test router loaded
2026-01-06T22:03:38.761845148Z [err]  2026-01-06 22:03:31,597 - server - INFO - ✅ QC test router loaded
