2026-01-10T21:03:39.046374932Z [err]  2026-01-10 21:03:36,024 - server - INFO - ✅ QC enhanced router loaded
2026-01-10T21:03:39.046376121Z [err]  2026-01-10 21:03:36,106 - server - INFO - ✅ Voice library router loaded
2026-01-10T21:03:39.046383539Z [err]  2026-01-10 21:03:36,028 - server - INFO - ✅ QC enhanced router loaded
2026-01-10T21:03:39.046384631Z [err]  2026-01-10 21:03:36,110 - server - INFO - ✅ QC learning router loaded
2026-01-10T21:03:39.046391009Z [err]  2026-01-10 21:03:36,029 - server - INFO - ✅ QC enhanced router loaded
2026-01-10T21:03:39.046397690Z [err]  2026-01-10 21:03:36,031 - server - INFO - ✅ QC enhanced router loaded
2026-01-10T21:03:39.046404880Z [err]  2026-01-10 21:03:36,072 - server - INFO - ✅ QC agent router loaded
2026-01-10T21:03:39.046411056Z [err]  2026-01-10 21:03:36,073 - server - INFO - ✅ QC agent router loaded
2026-01-10T21:03:39.046417590Z [err]  2026-01-10 21:03:36,074 - server - INFO - ✅ QC agent router loaded
2026-01-10T21:03:39.046423848Z [err]  2026-01-10 21:03:36,082 - server - INFO - ✅ QC agent router loaded
2026-01-10T21:03:39.046429901Z [err]  2026-01-10 21:03:36,095 - server - INFO - ✅ QC learning router loaded
2026-01-10T21:03:39.046436239Z [err]  2026-01-10 21:03:36,096 - server - INFO - ✅ QC learning router loaded
2026-01-10T21:03:39.047795628Z [err]  2026-01-10 21:03:36,251 - server - INFO - ✅ Agent test router loaded
2026-01-10T21:03:39.047801006Z [err]  2026-01-10 21:03:36,115 - server - INFO - ✅ Voice library router loaded
2026-01-10T21:03:39.047806864Z [err]  2026-01-10 21:03:36,256 - server - INFO - ✅ Director Studio router loaded
2026-01-10T21:03:39.047811923Z [err]  2026-01-10 21:03:36,212 - server - INFO - ✅ CRM router loaded
2026-01-10T21:03:39.047817087Z [err]  2026-01-10 21:03:36,256 - server - INFO - ✅ QC agents orchestrator loaded
2026-01-10T21:03:39.047822062Z [err]  2026-01-10 21:03:36,216 - server - INFO - ✅ CRM router loaded
2026-01-10T21:03:39.047825796Z [err]  2026-01-10 21:03:36,257 - server - INFO - ✅ Director Studio router loaded
2026-01-10T21:03:39.047831030Z [err]  2026-01-10 21:03:36,216 - server - INFO - ✅ CRM router loaded
2026-01-10T21:03:39.047834242Z [err]  2026-01-10 21:03:36,257 - server - INFO - ✅ QC agents orchestrator loaded
2026-01-10T21:03:39.047840530Z [err]  2026-01-10 21:03:36,258 - server - INFO - ✅ Director Studio router loaded
2026-01-10T21:03:39.047840538Z [err]  2026-01-10 21:03:36,224 - server - INFO - ✅ QC test router loaded
2026-01-10T21:03:39.047849445Z [err]  2026-01-10 21:03:36,225 - server - INFO - ✅ QC test router loaded
2026-01-10T21:03:39.047849696Z [err]  2026-01-10 21:03:36,258 - server - INFO - ✅ QC agents orchestrator loaded
2026-01-10T21:03:39.047859303Z [err]  2026-01-10 21:03:36,226 - server - INFO - ✅ QC test router loaded
2026-01-10T21:03:39.047866363Z [err]  2026-01-10 21:03:36,243 - server - INFO - ✅ CRM router loaded
2026-01-10T21:03:39.047873369Z [err]  2026-01-10 21:03:36,245 - server - INFO - ✅ Agent test router loaded
2026-01-10T21:03:39.047880216Z [err]  2026-01-10 21:03:36,245 - server - INFO - ✅ Agent test router loaded
2026-01-10T21:03:39.047887901Z [err]  2026-01-10 21:03:36,247 - server - INFO - ✅ QC test router loaded
2026-01-10T21:03:39.049079733Z [err]  2026-01-10 21:03:36,265 - server - INFO - ✅ Agent test router loaded
2026-01-10T21:03:39.049081985Z [err]  [2026-01-10 21:03:36 +0000] [4] [INFO] Waiting for application startup.
2026-01-10T21:03:39.049091645Z [err]  2026-01-10 21:03:36,273 - server - INFO - ✅ Director Studio router loaded
2026-01-10T21:03:39.049093516Z [err]  2026-01-10 21:03:36,391 - server - INFO - 🎵 Pre-generating comfort noise file on startup (5 minutes for seamless loops)...
2026-01-10T21:03:39.049101654Z [err]  2026-01-10 21:03:36,274 - server - INFO - ✅ QC agents orchestrator loaded
2026-01-10T21:03:39.049101950Z [err]  2026-01-10 21:03:36,391 - server - INFO - 🎵 Pre-generating comfort noise file on startup (5 minutes for seamless loops)...
2026-01-10T21:03:39.049108271Z [err]  2026-01-10 21:03:36,391 - server - INFO - 🎵 Pre-generating comfort noise file on startup (5 minutes for seamless loops)...
2026-01-10T21:03:39.049112185Z [err]  [2026-01-10 21:03:36 +0000] [6] [INFO] Started server process [6]
2026-01-10T21:03:39.049114016Z [err]  2026-01-10 21:03:36,391 - server - INFO - 🎵 Pre-generating comfort noise file on startup (5 minutes for seamless loops)...
2026-01-10T21:03:39.049121215Z [err]  [2026-01-10 21:03:36 +0000] [6] [INFO] Waiting for application startup.
2026-01-10T21:03:39.049129727Z [err]  [2026-01-10 21:03:36 +0000] [3] [INFO] Started server process [3]
2026-01-10T21:03:39.049137898Z [err]  [2026-01-10 21:03:36 +0000] [3] [INFO] Waiting for application startup.
2026-01-10T21:03:39.049146406Z [err]  [2026-01-10 21:03:36 +0000] [5] [INFO] Started server process [5]
2026-01-10T21:03:39.049155645Z [err]  [2026-01-10 21:03:36 +0000] [5] [INFO] Waiting for application startup.
2026-01-10T21:03:39.049164705Z [err]  [2026-01-10 21:03:36 +0000] [4] [INFO] Started server process [4]
2026-01-10T21:03:45.463391342Z [err]  2026-01-10 21:03:45,461 - server - INFO - ✅ Comfort noise MP3 ready for immediate use
2026-01-10T21:03:45.463400459Z [err]  2026-01-10 21:03:45,461 - server - INFO - 🎵 Pre-warming mulaw comfort noise for WebSocket streaming...
2026-01-10T21:03:45.463409128Z [err]  2026-01-10 21:03:45,461 - comfort_noise - INFO - 🎵 Loading mulaw comfort noise for WebSocket mixing...
2026-01-10T21:03:45.463411125Z [err]  2026-01-10 21:03:45,457 - comfort_noise - INFO - Generated continuous comfort noise: /tmp/comfort_noise_continuous.mp3 (300s, white=-83dB, hum=-93dB)
